outcome,formula,n,events,coef_log2_tokens,se_log2_tokens,odds_ratio_per_2x_tokens,ci95_low_or,ci95_high_or,p_value,family_scope,level,p_value_bh,direction,interpretation
omission,omission ~ log2_tokens + C(model),360,64,3026.554398287494,943.539950056674,inf,inf,inf,0.0013382007244725335,scaled_load,target_record,0.0040146021734176005,increases,grows
omission,omission ~ log2_tokens + fact_count + C(model) + C(family),600,64,3026.554398150314,943.5398958003266,inf,inf,inf,0.0013381998669778224,pooled_adjusted,target_record,0.0040146021734176005,increases,grows
exact_record_error,exact_record_error ~ log2_tokens + C(model),240,2,0.08865974368508385,0.5429296565169014,1.092708791998483,0.3770104462288971,3.1670541653528996,0.8702832043621814,fixed_load,target_record,0.8702832045094064,increases,approximately_stable
exact_record_error,exact_record_error ~ log2_tokens + C(model),360,64,3026.554398287494,943.539950056674,inf,inf,inf,0.0013382007244725335,scaled_load,target_record,0.0040146021734176005,increases,grows
exact_record_error,exact_record_error ~ log2_tokens + fact_count + C(model) + C(family),600,66,0.09014181037322669,0.5430645040270468,1.0943294599712996,0.3774698362270782,3.1725898390478293,0.8681669452047289,pooled_adjusted,target_record,0.8702832045094064,increases,approximately_stable
any_field_error,any_field_error ~ log2_tokens + C(model),240,2,0.08865974368508385,0.5429296565169014,1.092708791998483,0.3770104462288971,3.1670541653528996,0.8702832043621814,fixed_load,target_record,0.8702832045094064,increases,approximately_stable
any_field_error,any_field_error ~ log2_tokens + fact_count + C(model) + C(family),536,2,0.08865974368508045,0.5429296571385976,1.0927087919984795,0.3770104457694993,3.167054169212023,0.8702832045094064,pooled_adjusted,target_record,0.8702832045094064,increases,approximately_stable
action_error,action_error ~ log2_tokens + C(model),240,2,0.08865974368508385,0.5429296565169014,1.092708791998483,0.3770104462288971,3.1670541653528996,0.8702832043621814,fixed_load,target_record,0.8702832045094064,increases,approximately_stable
action_error,action_error ~ log2_tokens + fact_count + C(model) + C(family),536,2,0.08865974368508045,0.5429296571385976,1.0927087919984795,0.3770104457694993,3.167054169212023,0.8702832045094064,pooled_adjusted,target_record,0.8702832045094064,increases,approximately_stable
