model,task_id,family,target_tokens,actual_document_tokens,fact_count,replicate,record_id,omission,unit_error,action_error,object_error,count_error,month_error,severity_error,any_field_error,exact_record,log2_tokens
gpt-4.1-mini,fixed_load-2000-0,fixed_load,2000,1928,10,0,IR-001-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.912889336229961
gpt-4.1-mini,fixed_load-2000-0,fixed_load,2000,1928,10,0,IR-001-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.912889336229961
gpt-4.1-mini,fixed_load-2000-0,fixed_load,2000,1928,10,0,IR-001-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.912889336229961
gpt-4.1-mini,fixed_load-2000-0,fixed_load,2000,1928,10,0,IR-001-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.912889336229961
gpt-4.1-mini,fixed_load-2000-0,fixed_load,2000,1928,10,0,IR-001-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.912889336229961
gpt-4.1-mini,fixed_load-2000-0,fixed_load,2000,1928,10,0,IR-001-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.912889336229961
gpt-4.1-mini,fixed_load-2000-0,fixed_load,2000,1928,10,0,IR-001-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.912889336229961
gpt-4.1-mini,fixed_load-2000-0,fixed_load,2000,1928,10,0,IR-001-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.912889336229961
gpt-4.1-mini,fixed_load-2000-0,fixed_load,2000,1928,10,0,IR-001-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.912889336229961
gpt-4.1-mini,fixed_load-2000-0,fixed_load,2000,1928,10,0,IR-001-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.912889336229961
gpt-4.1-mini,fixed_load-2000-1,fixed_load,2000,1932,10,1,IR-002-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.915879378835774
gpt-4.1-mini,fixed_load-2000-1,fixed_load,2000,1932,10,1,IR-002-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.915879378835774
gpt-4.1-mini,fixed_load-2000-1,fixed_load,2000,1932,10,1,IR-002-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.915879378835774
gpt-4.1-mini,fixed_load-2000-1,fixed_load,2000,1932,10,1,IR-002-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.915879378835774
gpt-4.1-mini,fixed_load-2000-1,fixed_load,2000,1932,10,1,IR-002-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.915879378835774
gpt-4.1-mini,fixed_load-2000-1,fixed_load,2000,1932,10,1,IR-002-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.915879378835774
gpt-4.1-mini,fixed_load-2000-1,fixed_load,2000,1932,10,1,IR-002-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.915879378835774
gpt-4.1-mini,fixed_load-2000-1,fixed_load,2000,1932,10,1,IR-002-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.915879378835774
gpt-4.1-mini,fixed_load-2000-1,fixed_load,2000,1932,10,1,IR-002-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.915879378835774
gpt-4.1-mini,fixed_load-2000-1,fixed_load,2000,1932,10,1,IR-002-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.915879378835774
gpt-4.1-mini,fixed_load-2000-2,fixed_load,2000,1929,10,2,IR-003-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.913637428049103
gpt-4.1-mini,fixed_load-2000-2,fixed_load,2000,1929,10,2,IR-003-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.913637428049103
gpt-4.1-mini,fixed_load-2000-2,fixed_load,2000,1929,10,2,IR-003-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.913637428049103
gpt-4.1-mini,fixed_load-2000-2,fixed_load,2000,1929,10,2,IR-003-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.913637428049103
gpt-4.1-mini,fixed_load-2000-2,fixed_load,2000,1929,10,2,IR-003-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.913637428049103
gpt-4.1-mini,fixed_load-2000-2,fixed_load,2000,1929,10,2,IR-003-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.913637428049103
gpt-4.1-mini,fixed_load-2000-2,fixed_load,2000,1929,10,2,IR-003-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.913637428049103
gpt-4.1-mini,fixed_load-2000-2,fixed_load,2000,1929,10,2,IR-003-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.913637428049103
gpt-4.1-mini,fixed_load-2000-2,fixed_load,2000,1929,10,2,IR-003-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.913637428049103
gpt-4.1-mini,fixed_load-2000-2,fixed_load,2000,1929,10,2,IR-003-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.913637428049103
gpt-4.1-mini,fixed_load-6000-0,fixed_load,6000,5928,10,0,IR-004-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-0,fixed_load,6000,5928,10,0,IR-004-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-0,fixed_load,6000,5928,10,0,IR-004-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-0,fixed_load,6000,5928,10,0,IR-004-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-0,fixed_load,6000,5928,10,0,IR-004-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-0,fixed_load,6000,5928,10,0,IR-004-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-0,fixed_load,6000,5928,10,0,IR-004-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-0,fixed_load,6000,5928,10,0,IR-004-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-0,fixed_load,6000,5928,10,0,IR-004-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-0,fixed_load,6000,5928,10,0,IR-004-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-1,fixed_load,6000,5928,10,1,IR-005-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-1,fixed_load,6000,5928,10,1,IR-005-02,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,12.533329732305834
gpt-4.1-mini,fixed_load-6000-1,fixed_load,6000,5928,10,1,IR-005-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-1,fixed_load,6000,5928,10,1,IR-005-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-1,fixed_load,6000,5928,10,1,IR-005-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-1,fixed_load,6000,5928,10,1,IR-005-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-1,fixed_load,6000,5928,10,1,IR-005-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-1,fixed_load,6000,5928,10,1,IR-005-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-1,fixed_load,6000,5928,10,1,IR-005-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-1,fixed_load,6000,5928,10,1,IR-005-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.533329732305834
gpt-4.1-mini,fixed_load-6000-2,fixed_load,6000,5924,10,2,IR-006-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532355925288847
gpt-4.1-mini,fixed_load-6000-2,fixed_load,6000,5924,10,2,IR-006-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532355925288847
gpt-4.1-mini,fixed_load-6000-2,fixed_load,6000,5924,10,2,IR-006-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532355925288847
gpt-4.1-mini,fixed_load-6000-2,fixed_load,6000,5924,10,2,IR-006-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532355925288847
gpt-4.1-mini,fixed_load-6000-2,fixed_load,6000,5924,10,2,IR-006-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532355925288847
gpt-4.1-mini,fixed_load-6000-2,fixed_load,6000,5924,10,2,IR-006-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532355925288847
gpt-4.1-mini,fixed_load-6000-2,fixed_load,6000,5924,10,2,IR-006-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532355925288847
gpt-4.1-mini,fixed_load-6000-2,fixed_load,6000,5924,10,2,IR-006-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532355925288847
gpt-4.1-mini,fixed_load-6000-2,fixed_load,6000,5924,10,2,IR-006-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532355925288847
gpt-4.1-mini,fixed_load-6000-2,fixed_load,6000,5924,10,2,IR-006-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532355925288847
gpt-4.1-mini,fixed_load-12000-0,fixed_load,12000,11925,10,0,IR-007-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-0,fixed_load,12000,11925,10,0,IR-007-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-0,fixed_load,12000,11925,10,0,IR-007-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-0,fixed_load,12000,11925,10,0,IR-007-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-0,fixed_load,12000,11925,10,0,IR-007-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
