model,task_id,target_tokens,fact_count,max_completion_tokens,parse_failure,parse_error,target_records,predicted_records,missing_records,hallucinated_records,duplicate_records,matched_with_any_field_error,omission_rate,hallucination_rate,duplicate_rate,any_field_error_rate_matched,finish_reason,api_prompt_tokens,api_completion_tokens,reasoning_tokens,elapsed_seconds
gpt-5-mini,scaled_load-24000-0,24000,32,12000,0,,32,32,0,0,0,0,0.0,0.0,0.0,0.0,stop,24144,4900,2752,65.61570405960083
gpt-5-mini,scaled_load-24000-1,24000,32,12000,0,,32,32,0,0,0,0,0.0,0.0,0.0,0.0,stop,24156,4706,2560,58.24381494522095
